,region,o_lon,o_lat,d_lon,d_lat,flow,o,distance
4,4,121.5084607977259,31.237219781977203,121.52632023052468,31.307612403399002,343.0,17,8.009
38,71,121.5084607977259,31.237219781977203,121.58972091305841,31.268391588648132,606.0,17,8.467
62,114,121.5084607977259,31.237219781977203,121.47364734370115,31.3065622532936,129.0,17,8.39
0,0,121.5084607977259,31.237219781977203,121.42868799028257,31.195427301851584,560.0,17,8.896
39,72,121.5084607977259,31.237219781977203,121.51826640479932,31.223272380053857,7215.0,17,1.81
48,89,121.5084607977259,31.237219781977203,121.4550208991211,31.23679133807017,179.0,17,5.081
73,146,121.5084607977259,31.237219781977203,121.65044909620354,31.236384846607532,303.0,17,13.5
28,43,121.5084607977259,31.237219781977203,121.61703152248234,31.18944735163891,534.0,17,11.611
55,100,121.5084607977259,31.237219781977203,121.4010567224376,31.217798881824336,143.0,17,10.438
22,34,121.5084607977259,31.237219781977203,121.36582452446775,31.22229900956726,122.0,17,13.663
61,113,121.5084607977259,31.237219781977203,121.40077807727344,31.174372722989276,105.0,17,12.398
10,13,121.5084607977259,31.237219781977203,121.38765577991843,31.258429775521495,128.0,17,11.724
6,6,121.5084607977259,31.237219781977203,121.37985747404575,31.25162880212435,195.0,17,12.331
5,5,121.5084607977259,31.237219781977203,121.31736412637841,31.19734845657781,288.0,17,18.705
52,96,121.5084607977259,31.237219781977203,121.50684857177299,31.137017171909257,953.0,17,11.143
53,98,121.5084607977259,31.237219781977203,121.56201084466534,31.351864879828643,179.0,17,13.726
8,9,121.5084607977259,31.237219781977203,121.70042453956883,31.15183802239264,336.0,17,20.58
26,39,121.5084607977259,31.237219781977203,121.27030183620131,31.17505434980706,133.0,17,23.682
44,81,121.5084607977259,31.237219781977203,121.769843920165,31.13352263332407,246.0,17,27.408
77,155,121.5084607977259,31.237219781977203,121.31420625750981,31.129963618374855,163.0,17,21.994
