,region,o_lon,o_lat,d_lon,d_lat,flow,o,distance
0,95.0,121.5084607977259,31.237219781977203,121.441475914925,31.23951737727586,300.0,17.0,6.374
1,43.0,121.5084607977259,31.237219781977203,121.61703152248234,31.18944735163891,534.0,17.0,11.611
2,51.0,121.5084607977259,31.237219781977203,121.53239319576336,31.059178730190588,270.0,17.0,19.928
3,77.0,121.5084607977259,31.237219781977203,121.36222480105873,31.113780950697375,322.0,17.0,19.544
4,84.0,121.5084607977259,31.237219781977203,121.40115222767956,31.30259486452356,270.0,17.0,12.524
5,115.0,121.5084607977259,31.237219781977203,121.58144459075154,31.135634694968683,398.0,17.0,13.259
6,121.0,121.5084607977259,31.237219781977203,121.66090678805202,31.27662050369057,183.0,17.0,15.139
7,156.0,121.5084607977259,31.237219781977203,121.59563601409151,31.301373776648003,326.0,17.0,10.933
8,162.0,121.5084607977259,31.237219781977203,121.60821794211097,31.104206305931633,220.0,17.0,17.574
9,163.0,121.5084607977259,31.237219781977203,121.37316899216485,31.35661960414859,105.0,17.0,18.48
10,9.0,121.5084607977259,31.237219781977203,121.70042453956883,31.15183802239264,336.0,17.0,20.58
11,39.0,121.5084607977259,31.237219781977203,121.27030183620131,31.17505434980706,133.0,17.0,23.682
12,81.0,121.5084607977259,31.237219781977203,121.769843920165,31.13352263332407,246.0,17.0,27.408
