index,region,lng1,lat1,lng2,lat2,flow,o,distance
51,95,121.5084607977259,31.237219781977203,121.441475914925,31.23951737727586,300.0,17,6.374
62,114,121.5084607977259,31.237219781977203,121.47364734370115,31.3065622532936,129.0,17,8.39
1,1,121.5084607977259,31.237219781977203,121.36204671142836,31.28326318000398,131.0,17,14.829
6,6,121.5084607977259,31.237219781977203,121.37985747404575,31.25162880212435,195.0,17,12.331
7,8,121.5084607977259,31.237219781977203,121.35559091863556,31.196154889705628,107.0,17,15.237
10,13,121.5084607977259,31.237219781977203,121.38765577991843,31.258429775521495,128.0,17,11.724
18,26,121.5084607977259,31.237219781977203,121.39068694280853,31.14883409190961,111.0,17,14.903
21,33,121.5084607977259,31.237219781977203,121.39712730495233,31.229921458590745,231.0,17,10.616
22,34,121.5084607977259,31.237219781977203,121.36582452446775,31.22229900956726,122.0,17,13.663
28,43,121.5084607977259,31.237219781977203,121.61703152248234,31.18944735163891,534.0,17,11.611
35,68,121.5084607977259,31.237219781977203,121.40112643917823,31.241334508416557,107.0,17,10.215
46,84,121.5084607977259,31.237219781977203,121.40115222767956,31.30259486452356,270.0,17,12.524
52,96,121.5084607977259,31.237219781977203,121.50684857177299,31.137017171909257,953.0,17,11.143
53,98,121.5084607977259,31.237219781977203,121.56201084466534,31.351864879828643,179.0,17,13.726
55,100,121.5084607977259,31.237219781977203,121.4010567224376,31.217798881824336,143.0,17,10.438
57,104,121.5084607977259,31.237219781977203,121.3517332890509,31.21798912766103,199.0,17,15.055
61,113,121.5084607977259,31.237219781977203,121.40077807727344,31.174372722989276,105.0,17,12.398
63,115,121.5084607977259,31.237219781977203,121.58144459075154,31.135634694968683,398.0,17,13.259
65,121,121.5084607977259,31.237219781977203,121.66090678805202,31.27662050369057,183.0,17,15.139
73,146,121.5084607977259,31.237219781977203,121.65044909620354,31.236384846607532,303.0,17,13.5
78,156,121.5084607977259,31.237219781977203,121.59563601409151,31.301373776648003,326.0,17,10.933
79,158,121.5084607977259,31.237219781977203,121.42110491105659,31.139865929181077,112.0,17,13.647
85,166,121.5084607977259,31.237219781977203,121.41505395295263,31.1854563647636,189.0,17,10.585
86,173,121.5084607977259,31.237219781977203,121.5038792039205,31.14529029615576,224.0,17,10.231
91,182,121.5084607977259,31.237219781977203,121.61765328743712,31.244846002776427,184.0,17,10.416
99,195,121.5084607977259,31.237219781977203,121.4316844697057,31.16438039159266,303.0,17,10.905
100,197,121.5084607977259,31.237219781977203,121.47095582977339,31.3246426167734,123.0,17,10.354
101,198,121.5084607977259,31.237219781977203,121.38735829662129,31.18054656600983,181.0,17,13.129

